"","mean","mcse","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"b[stdsmoke UnitCode:ACAD]",-1.21654838137761,0.0133488970276034,0.345278484998595,-1.90960683826764,-1.44984397502433,-1.21712441917704,-0.980597501882574,-0.581682796616681,669,1.01147262016416
"b[stdsmoke UnitCode:ARCH]",0.821191947932366,0.00544004992104667,0.160624685212999,0.50521399191527,0.715231888735071,0.817130127989686,0.930255526794235,1.13977871320402,872,1.00633231801966
"b[stdsmoke UnitCode:BADL]",-0.294540748092287,0.00397138746290371,0.121502901663153,-0.529526080543771,-0.378232789527097,-0.299746288363995,-0.211512275119532,-0.0593831333268684,936,1.00136874381901
"b[stdsmoke UnitCode:BIBE]",0.149228220467412,0.00290212408252653,0.0874421974329336,-0.0155343754309626,0.0885231215207862,0.146217271439243,0.207100832412775,0.328976144906666,908,1.00006705694847
"b[stdsmoke UnitCode:BISC]",0.240872147837602,0.00258843953810877,0.0803268436525498,0.0875270374914028,0.185376809492121,0.241012059580448,0.295447323211365,0.400831926867957,963,1.00619748310679
"b[stdsmoke UnitCode:BLCA]",-0.34567480863605,0.00724529209441845,0.190785397036921,-0.713938782326848,-0.472586021800466,-0.34452120832972,-0.211613375686888,0.0220767263225095,693,1.00134997275183
"b[stdsmoke UnitCode:BRCA]",0.890962073376519,0.00496469467386112,0.147988596906489,0.597183124277198,0.789530566894248,0.891905947818267,0.991750778536767,1.1784944563055,889,1.00526433797312
"b[stdsmoke UnitCode:CANY]",0.722091257942408,0.00537253497232212,0.159314625088431,0.411292144013341,0.615316134832135,0.723573149790865,0.82703530431705,1.04158932399158,879,1.00477879933948
"b[stdsmoke UnitCode:CARE]",0.322990990447968,0.00588253080320198,0.150090396170109,0.0245198838213855,0.21832675664821,0.324440496476711,0.423864737713434,0.612242158414428,651,1.00170728251178
"b[stdsmoke UnitCode:CAVE]",-0.470792243966838,0.00299082827438668,0.0974086039890515,-0.659001697458801,-0.535693542344996,-0.473361215534964,-0.405490872525344,-0.276599683314484,1061,1.0008424280088
"b[stdsmoke UnitCode:CHIS]",0.605748372774522,0.00424882469338227,0.133262315008338,0.343500084030147,0.514952994971143,0.605853549940639,0.696414705868224,0.863649072882609,984,1.00623357323624
"b[stdsmoke UnitCode:CONG]",0.979715066011117,0.00440762375128213,0.153324945120943,0.68051686863638,0.877800857543693,0.976167552940944,1.07935245943403,1.29530817426689,1210,1.00083512796365
"b[stdsmoke UnitCode:CRLA]",0.0749254807211341,0.00716668461290869,0.18959093674819,-0.286198255299842,-0.0558854343658173,0.0726963163221542,0.200231203361097,0.446079147389006,700,1.00325045629399
"b[stdsmoke UnitCode:CUVA]",0.954942483093263,0.00539395341685054,0.177173535953006,0.617762411470689,0.832454258853863,0.952555337776141,1.07219077022727,1.30939428620183,1079,1.0034557323077
"b[stdsmoke UnitCode:DENA]",0.536794316149502,0.0156195651434075,0.413762425586699,-0.2515900593288,0.258900281664604,0.533382500719433,0.817954193451456,1.35315818771402,702,1.00482932804919
"b[stdsmoke UnitCode:DEVA]",0.115401850703244,0.00271661960059752,0.0787118663547544,-0.0388152176132129,0.0621005892926571,0.116544644582451,0.16940650358931,0.267416233656309,840,0.999926762117448
"b[stdsmoke UnitCode:DRTO]",0.542981450624459,0.00189442189187332,0.0804746959776899,0.386715138940374,0.488158404833661,0.542902517734215,0.599098535803655,0.704536052304881,1805,0.999762918495789
"b[stdsmoke UnitCode:EVER]",0.0847195075867916,0.00199277489447668,0.0712871229452936,-0.0546882831831078,0.0363537074542096,0.084061975260119,0.131606222841938,0.2211498609819,1280,1.00282027187737
"b[stdsmoke UnitCode:GAAR]",0.158540519378774,0.0138198566369594,0.407346098695296,-0.637586597348117,-0.118430061342768,0.158239791387375,0.433633524018979,0.953881271168919,869,0.999927425995753
"b[stdsmoke UnitCode:GLAC]",0.24461297246986,0.0115233079892802,0.286829947328291,-0.329826859342162,0.0517797724830839,0.256819895573172,0.437130348241067,0.79855728655689,620,1.00200347353052
"b[stdsmoke UnitCode:GLBA]",1.22788719235766,0.019962702438322,0.447205278008804,0.376114627037356,0.912953291204389,1.21443145391056,1.53048473987389,2.12413671330199,502,1.00415603166024
"b[stdsmoke UnitCode:GRBA]",0.904971379492889,0.00248823362386943,0.114199758671627,0.677841091479261,0.830444967998474,0.905106908163825,0.980250788582801,1.13268219056425,2106,1.00138652589857
"b[stdsmoke UnitCode:GRCA]",0.422633748763298,0.00314240802742729,0.106472081761257,0.214352101241943,0.353094601186971,0.423213336692844,0.490694388644021,0.636452096984427,1148,1.00132219151146
"b[stdsmoke UnitCode:GRSA]",0.20773713190842,0.00879956051618052,0.223593451712346,-0.221294495041326,0.0555168229071978,0.19497496799983,0.355922767492869,0.654020121236184,646,1.00184258268157
"b[stdsmoke UnitCode:GRSM]",0.0964193448938031,0.00377824714520385,0.149029078096913,-0.189987553429023,-0.00793067173382834,0.0952805000152969,0.197103894328038,0.393355921401228,1556,0.999534219857568
"b[stdsmoke UnitCode:GRTE]",0.769391770311568,0.00505944720273142,0.152190184565596,0.475030262955849,0.669546294251128,0.770841953120929,0.866894920534916,1.06941190273599,905,1.00403924327907
"b[stdsmoke UnitCode:GUMO]",-0.0834031298670886,0.00485087601226271,0.119767289565452,-0.312484924404868,-0.165768278216001,-0.0798276002118829,-0.00277678740079955,0.149277015259213,610,1.01164411093762
"b[stdsmoke UnitCode:HALE]",0.632296138764826,0.0205981720762572,0.471446238555082,-0.284981402581698,0.317964900754503,0.642019281035692,0.942814233660641,1.53712614372258,524,1.00683290469902
"b[stdsmoke UnitCode:HAVO]",-0.876911569541687,0.0218718332026856,0.499688184932022,-1.8475724144164,-1.21724752226363,-0.874711733475325,-0.542820513071909,0.0906125156390219,522,1.00596127021435
"b[stdsmoke UnitCode:HOSP]",0.00784783875285711,0.00234043804187687,0.0899286048771619,-0.160704012479472,-0.0553350210981333,0.00577421127392995,0.0683625972121376,0.18841295865592,1476,1.00247333581068
"b[stdsmoke UnitCode:INDU]",0.316149525919921,0.00464540451909258,0.154911686702075,0.0119894642939544,0.209846422930652,0.316933245905859,0.423169800092625,0.616062702206025,1112,1.00527745522676
"b[stdsmoke UnitCode:ISRO]",-0.604411766260333,0.0131977263570479,0.346409163437161,-1.27555234772845,-0.838474460437142,-0.606038824570236,-0.371195568406587,0.0869622142346178,689,1.00129829487475
"b[stdsmoke UnitCode:JEFF]",-0.0770147960188661,0.00424090791864467,0.142921922676663,-0.359250779232266,-0.173876598831164,-0.0768760628741674,0.0197240577584462,0.198453863738244,1136,1.00152087186163
"b[stdsmoke UnitCode:JOTR]",0.100631769810505,0.00141945841342599,0.0441575579025024,0.0156650910424863,0.0709899701616389,0.10026228321292,0.130238751005525,0.186335607897402,968,1.00287155916819
"b[stdsmoke UnitCode:KATM]",-2.77638738951664,0.0152138924342997,0.418930704349805,-3.61029683354188,-3.06394012566924,-2.77576295721481,-2.48385836842256,-1.97109848090949,758,1.0067111253437
"b[stdsmoke UnitCode:KEFJ]",-0.745595475612078,0.0174995072920018,0.39421020022007,-1.5219874033251,-1.01262616767936,-0.74001889075544,-0.483229435379132,0.0455567242525651,507,1.01148332750984
"b[stdsmoke UnitCode:KICA]",-0.295331128231913,0.00275441345861165,0.0925705548728924,-0.476471570286636,-0.358868195140376,-0.294901118614132,-0.231212772239961,-0.116764909997833,1130,1.00025513850461
"b[stdsmoke UnitCode:KOVA]",-0.372329581250243,0.0215039124559123,0.42332389593661,-1.19519160803852,-0.642813749885446,-0.372637981117091,-0.0933440929672915,0.472028441949761,388,1.0022305142784
"b[stdsmoke UnitCode:LACL]",-0.464392798172484,0.016864932781089,0.422493265986135,-1.27567152713165,-0.755858022023326,-0.465835794986618,-0.181053837821802,0.372270288140618,628,1.00592276093598
"b[stdsmoke UnitCode:LAVO]",-0.529447510632175,0.00381730020659574,0.124788672351389,-0.771246818368016,-0.611281403090185,-0.531446398889711,-0.448163540421507,-0.272668901432901,1069,1.00051575832427
"b[stdsmoke UnitCode:MACA]",-0.938829929438908,0.00282848438449839,0.115590406239286,-1.15878544092698,-1.01899775692072,-0.939138585980678,-0.862415536443,-0.706478437163631,1670,0.999827386584822
"b[stdsmoke UnitCode:MEVE]",0.163198620754874,0.00710435762305606,0.175501151056076,-0.184255872507582,0.0500641641830081,0.158859306081968,0.280841459142338,0.516392886006506,610,1.00537420345293
"b[stdsmoke UnitCode:MORA]",-0.436687383828698,0.0141164256428017,0.341631936040636,-1.12982141781005,-0.652845734932888,-0.426815489473036,-0.21080222097503,0.218777067303197,586,1.00307950255906
"b[stdsmoke UnitCode:NOCA]",-3.36968018286674,0.0153432213331433,0.402569634738146,-4.18618753801035,-3.63885927509312,-3.36642463109964,-3.08693323821948,-2.59794296394925,688,1.01368191898824
"b[stdsmoke UnitCode:OLYM]",0.264533251123377,0.0138527480483892,0.332341119837599,-0.403680308466598,0.037935074241236,0.268112623495606,0.487407043581244,0.909618866178644,576,1.01237503077293
"b[stdsmoke UnitCode:PEFO]",-0.18768637054865,0.00665775125746919,0.163065931643302,-0.505794271271488,-0.300832216428912,-0.18462028271809,-0.0756821299129187,0.127822237553831,600,1.00371519341325
"b[stdsmoke UnitCode:PINN]",0.232285758583069,0.00304294352847441,0.104002251844291,0.0254113946734851,0.162720184818453,0.23251828261905,0.303298160518093,0.437223638873293,1168,1.00036789371531
"b[stdsmoke UnitCode:REDW]",-0.0277887805831815,0.00420817850204115,0.124219284751284,-0.2830950731897,-0.109567277819178,-0.0231465678975992,0.0580512953006142,0.204599201417728,871,1.006976372903
"b[stdsmoke UnitCode:ROMO]",0.292158719029792,0.00734422087500525,0.209619682124943,-0.114905223590172,0.151678447002826,0.293401872375291,0.430747679556984,0.714782066583107,815,1.00666495270348
"b[stdsmoke UnitCode:SAGU]",-0.0942697438446951,0.00341411476316579,0.0982515646832031,-0.283795337032412,-0.159611545607944,-0.0945384392265296,-0.0282795036154035,0.100828234800853,828,1.00457315271545
"b[stdsmoke UnitCode:SEQU]",0.112139932331176,0.00304618489144309,0.0973306752013663,-0.0806170458173248,0.0468065297212994,0.113717313161671,0.177891611833273,0.295792475433677,1021,1.0032998520938
"b[stdsmoke UnitCode:SHEN]",-0.773293959256351,0.00503480742438244,0.160301988484519,-1.08579923179922,-0.878709876035275,-0.777126298069403,-0.668202437420618,-0.444294854244025,1014,1.00128604567081
"b[stdsmoke UnitCode:THRO]",-0.107985258895348,0.00507094309227205,0.14986878036535,-0.401285619245908,-0.207901552168934,-0.10638101738267,-0.00888358045688352,0.190896794820258,873,1.00552575252405
"b[stdsmoke UnitCode:VIIS]",-0.0916774114274439,0.00182424062401637,0.058223012307377,-0.203322320404794,-0.131155970410634,-0.0916461472844533,-0.0532617190167286,0.0241745513678212,1019,0.999514596523852
"b[stdsmoke UnitCode:VOYA]",-0.754544189755551,0.0121354709933176,0.303037609297835,-1.34947327966156,-0.96307955548096,-0.7564227809211,-0.553411896190826,-0.139465013120718,624,1.01312665377866
"b[stdsmoke UnitCode:WICA]",0.304423534450755,0.0052863584380427,0.141307981368913,0.0226052079135089,0.211916990188291,0.305210856766914,0.397184730649644,0.581735479922876,715,0.999697895098816
"b[stdsmoke UnitCode:WRST]",-0.528833830783652,0.0154137733355036,0.403597919243044,-1.29860799826366,-0.814628166827795,-0.524313158981159,-0.253294556323593,0.23935705705565,686,1.00137244446407
"b[stdsmoke UnitCode:YELL]",-0.00684887547867455,0.00568379144555531,0.156066022549011,-0.307877416846947,-0.112932646518488,-0.00712338160648642,0.0993748113968924,0.297380351166335,754,1.00230639116996
"b[stdsmoke UnitCode:YOSE]",0.165712265152771,0.0024492391240794,0.10202085220913,-0.0379059454960797,0.0972455626313837,0.166817304761632,0.232536557093099,0.364115325812791,1735,1.00141297912073
"b[stdsmoke UnitCode:ZION]",0.724445439082285,0.00437629170172286,0.12850934783795,0.470380427294711,0.638150461868738,0.721519374652086,0.809299753647547,0.981485650772187,862,1.00533564653967
"Sigma[UnitCode:stdsmoke,(Intercept)]",0.445147116113874,0.029398627904667,0.247431933235731,0.0040197326835331,0.28722405779282,0.426775568835864,0.579050353117293,1.04367751280648,71,1.03957553498656
"Sigma[UnitCode:stdsmoke,stdsmoke]",0.71835232127448,0.0170295060014926,0.177389854928869,0.441379504073447,0.591413318128977,0.699186802883943,0.821664577043914,1.10484744587707,109,1.0400983596828
